id,FalseSent,trueSent
272,She put a gorilla in the oven.,She put a pizza in the oven.
273,Sunscreen is used during a rainy day.,Umbrella is used during a rainy day.
274,we can have a shower in the kitchen,we can cook food in the kitchen
275,Food refrigerated longer than recommended can burn,Food baked longer than recommended can burn
276,The mall drove to Jim,Jim drove to the mall
277,She heated up the water to make icecream.,She heated up the water to make tea.
278,A teddy is a weapon,A sword is a weapon
279,A planet has a square shape,A planet has a sphere shape
280,He put a cat in the freezer.,He put frozen turkey in the freezer.
281,Grass is orange,Grass is green
282,Plant can have buffalo for dinner.,Most plants have green leaves.
283,The doctor gave vaccine through stethoscope,The doctor gave vaccine through injection
284,My house is homosexual.,My house is white.
285,You can buy cigarettes in bottles,You can buy beer in bottles
286,Eating lot of food makes you tall,Eating lot of food makes you fat
287,Adjectives are a part of pizza,Adjectives are a part of speech
288,It rains occasionally which is horrible for the trees and grass.,It rains occasionally which is good for the trees and grass.
289,If she is dead she will buy a new house.,If she is dead she won't be buying anything any more.
290,The log jumped over a dog.,The dog jumped over a log.
291,She worked out the question on the calculator,She worked out the answer on the calculator
292,She hung an elevator on the wall.,She hung a picture frame on the wall.
293,10% of disordered people are anxious about anything all the time.,Anxiety disorders affect around 10% of people at any one time.
294,Boats sail on the sand.,Boats sail on the water.
295,Burglars are good people,Doctors are good people
296,I wore a rainbow bowtie to the funeral,I wore a black tie to the funeral
297,The Students Scolded the Teacher,The Teacher Scolded the Students
298,They switched on the stove to watch their favourite programme,They switched on the television to watch their favourite programme
299,he kept ice cream in oven,he kept ice cream in the freezer
300,She was frying the nuts in freezer,She was frying the nuts in hot pan
301,Learning a language is easy,Learning how to cycle is easy
302,Michelle put a couch in the back of her car,Michelle put a TV in the back of her car.
303,you will find a shark in a mountain,you will find a rock in a mountain
304,The ferry crossed the river on the car.,The car crossed the river on the ferry.
305,The sun made my t-shirt wet.,The rain made my t-shirt wet.
306,she was swimming in hot oil.,she was swimming in hot  water.
307,Bella loves to dance in a ballroom in her pink car.,Bella loves to dance in a ballroom in her pink dress
308,Eggs are usually used as cricket ball,Eggs usually used to eat
309,One thing you will see at a Tyre change shop is a juice maker,One thing you will see at a Tyre change shop is a compressor
310,Umbrellas are good means of communication,Mobile phones are good means of communication
311,Winter coats are helpful in summer.,Winter coats are helpful in cold temperatures.
312,He ate a mobile phone,He ate an apple
313,Pencils contain a chocolate core,Pencils contain a graphite core
314,he cut the cheese with axe,he cut the cheese with knife
315,He took his family to restaurant for movie,He took his family to restaurant for dinner
316,Players play soccer with mountain shoes,Players play soccer with sports shoes
317,His reflection was invisible in the mirror.,His reflection was visible in the mirror
318,He was eating spoon,He was eating hotdogs
319,I will play the table in class tomorrow in front of students,I will play the guitar in class tomorrow in front of students
320,A lathe is only for making table legs.,A lathe is used to shape material.
321,Water is a drink with brown colour,Coffee is a drink with brown colour
322,Computer use people to make money.,People use computer to make money.
323,A policeman carries a sword.,A policeman carries a gun.
324,Boats can row people.,People can row boats.
325,bridges are built to attract tourists,bridges are built to cross rivers
326,He puts nails on his sandwich,He puts ham on his sandwich.
327,Something you find in a living room is a cheetah,Something you find in a living room is a chair
328,A fox is a bird,A fox is an animal
329,He rubs the lotion on the basket,He puts the lotion in the basket
330,You are likely to meet a car accident inside home,You are likely to meet a car accident on the road
331,No person would want to live with a cat,No person would want to live with rats
332,He read a wardrobe in rhe table,He read a book in the table
333,A small rat chases a grey cat away,A grey cat chases a small rat away
334,She went to the clothing store to have a surgery.,She went to the hospital to have a surgery.
335,The keyboard makes a splashing sound when it is typed on.,The keyboard makes a clicking sound when it is typed on.
336,Chalk is a common food item at birthday parties.,Cake is a common food item at birthday parties.
337,A fan is a baby kangaroo,A joey is a baby kangaroo
338,He drove his car down the river.,He drove his car down the street.
339,Cars have got ten wheels,Cars have got four wheels
340,he clicked the computer screen with dog,He clicked the computer screen with mouse
341,She will give birth after 2 months of pregnancy,She will give birth after 9 months of pregnancy
342,A passport is necessary to travel from one restaurant to another.,A passport is necessary to travel from one country to another.
343,Jonathan smells good when organic litter is near,Jonathan smells bad when organic litter is near
344,A spaceship is a way to get from one side of a water way to another.,A tunnel is a way to get from one side of a water way to another.
345,he bought a gift for his friend's funeral,He bought a gift for his friend wedding
346,she applied toothpaste on her face in summer,She applied sunscreen on her face in summer
347,Seven quarters is equal to one whole.,Four quarters is equal to one whole.
348,Phones grow on trees,Apples grow on trees
349,Permanent marker can be erased more easily than crayon,Pencil can be erased more easily than crayon
350,It is likely that she will get into university with her fail in the qualifying exam,It is likely that she will get into university with her pass in the qualifying exam
351,He called his wife on her pen,He called his wife on her mobile
352,She put a train in the car.,She put a dog in the car.
353,The steel plank was floating on the lake,The wood plank was floating on the lake
354,He stored rice in a pen drive,He stored music files in a pen drive
355,"An infant needs sun, water and soil in order to flourish.","A basil plant needs sun, water and soil in order to flourish."
356,I ride a leopard to work every day,I drive a car to work every day
357,You can use a pool to place an elephant,You can use a pool to swim
358,He drove the truck from continent to continent.,The truck drove on the highway.
359,I walked on water,I walked on land
360,There are four mountains around the table,There are four stools around the table
361,The ant rode the bike.,The girl rode the bike.
362,He checked time on his shoe,He checked time on his watch
363,The criminal was sentenced to 2 years in library.,The criminal was sentenced to 2 years in prison.
364,He was swimming in a ground,He was swimming in a swimming pool
365,Bill has got two islands in Belgic,Bill has got two friends in Belgic
366,The unicorn went down the hole.,The rabbit went down the hole.
367,My Dog eats wood for dinner.,My Dog eats chicken preparation for dinner.
368,Eating a lot of sand can cause obesity,Eating a lot of sugary foods can cause obesity
369,He waved hands at his bike,He waved hands at his friends
370,john parked his car in the bathroom,John parked his car in the garage
371,He was eating a book,He was reading a book
372,A person must eat more meat to have a longer life,A person must exercise more to have a longer life
373,He liked the food made by the dog,He liked the food made by the chef
374,He got into the bathtub to sleep.,He got into the bed to sleep.
375,"Beef stew should be cooked at 3,250 degrees for 36 hours",Beef stew should be cooked at 325 degrees for 3 hours
376,Food eat her a lot.,She eat a lot of food.
377,You will always find windows on a building,You can find windows on a building
378,It is desirable to put children's in jail at the age of six,It is desirable to put children's in school at the age of six
379,Work is going to make money.,Going to work is for making money.
380,the student uses a wand to take the test,The student uses a pencil to take a test
381,A purse is a fashionable way to carry around roller blades.,A purse is a fashionable way to carry around essential items.
382,A kite is crying in the air.,A kite is flying in the air.
383,He went to theater to do a hair cut,He went to saloon to do a hair cut
384,"When driving, it's important to keep both feet on the steering wheel.","When driving, it's important to keep both hands on the steering wheel."
385,He took his animal to a painter for treatment,He took his animal to a vet for treatment
386,All men bite dogs,Some dogs bite men
387,The Thief arrested the cops,The cops arrested the Thief
388,Mom put the baby down the water slide to walk to the park,Mom put baby into the stroller to walk to the park
389,The school went to her,She went to school
390,He drives a steamship at his job in the stadium.,He drives a steamship at his job.
391,he was eating grass,he was eating cake
392,You would eat a horse because you are hungry,You would eat lunch because you are hungry
393,He travelled to Europe by bird.,He travelled to Europe by plane.
394,The man threw the garbage into his mouth,The man threw the garbage into the dumpster
395,"After throwing a ball upwards, it will keep going up","After throwing a ball upwards, it will come down again"
396,Some dogs jump from one branch to another on a tree,Some monkeys jump from one branch to another on a tree
397,The babies have careers.,The adults have careers.
398,people usually eat soups with knives,people usually eat soup with spoons
399,He unlocked the wall,He unlocked the door
400,She cooked rice in the bathtub.,She cooked rice in the pan.
401,He gave her a rock for her birthday.,He gave her a necklace for her birthday.
402,He replaced the bulb in the lamp with a salmon,He replaced the bulb in the lamp with a new LED bulb
403,He put a nuclear plant on the roof,Edward installed solar panels on the roof
404,Ten plus six equals ten,Four plus six equals ten
405,I ate a bike wheel,I ate a biscuit
406,Home auto cleans itself.,You clean home everyday.
407,The sailboat flew high into the sky.,The airplane flew high into the sky.
408,She walked over the house,She walked into the house
409,A paperclip cuts paper into pieces.,A paperclip clips paper together.
410,Music feel alright with humans.,Music makes humans feel alright.
411,Clothes wear me everyday.,I wear clothes everyday.
412,The students went to the plumber to get the assignment corrected,The students went to the teacher to get the assignment corrected
413,He was watching his favorite show in oven,He was watching his favorite show in television
414,The horse barked at the dog,The dog barked at the horse
415,She used a banana to call her mother,She used a telephone to call her mother
416,He caught a fishing rod with a fish,He caught a fish with a fishing rod
417,Girls have three boobs,Girls have two boobs
418,The chef cooked food on speaker,The chef cooked food on stove
419,He was playing a shoe,He was playing a chess game
420,The doctor checked the temperature with stethoscope,The doctor checked the temperature with thermometer
421,They were catching fish in the cooker,They were catching fish in the lake
422,Students teach teachers,Teachers teach students
423,He was drinking cake to quench his thirst,He was drinking water to quench his thirst
424,He was washing his car with sandpaper,He was washing his car with water
425,He was doing exercise in fridge,He was doing exercise in gym
426,Protecting irrelevant matters is a matter of survival.,Protecting your own interests is a matter of survival.
427,He sent an email from his fridge,He sent an email from his computer
428,John likes to have arsenic after dinner.,John likes to have ice cream after dinner.
429,He saw a lion web,He saw a spider web
430,The man hit a football for a home run.,The man hit a home run.
431,She ate dirt for breakfast.,She ate fruit for breakfast.
432,At night sunlight show their path,At night moonlight show their path
433,The weather is so hot that it began to snow.,The weather is so cold that it began to snow.
434,door on the sewing machine. A door is too,She sewed an outfit on the sewing machine. She sewed a
435,water is unwanted thing to body,water is essential for health
436,An antelope is docked at the pier.,A sailboat is docked at the pier.
437,a dog wags its tail to call its mom.,a dog wags its tail when they are excited
438,She was wearing spoon for bad eyes,She was wearing glasses for bad eyes
439,The driver started the car engine with pen,The driver started the car engine with the key
440,12345 are the first letters of a standard English keyboard,QWERTY are the first 6 letters of a standard English keyboard
441,Bears eat benches,Bears eat honey
442,I let the tiger drive my car.,I let the clown drive my car.
443,He was playing cards game with his bike,He was playing cards game with his friends
444,The terrorist arrested the military.,The military arrested the terrorists.
445,A doctor examines fruit,A doctor examines your body
446,He poured a tall glass of mud.,He poured a tall glass of water.
447,His neighbor has donated his Sweat,His neighbor has Donated his eyes
448,The  mat sat on the cat.,The cat sat on the mat.
449,he put the books in the wine cellar,he put the books in the bookshelf
450,He put the chair on the room,He put the chair in the room
451,I like to eat a bowl of pebbles during movie time,I like to eat a bowl of popcorn during movie time
452,he wrote with a car,he wrote with a pen
453,He wore a spoon,He wore a sleeveless shirt
454,The baby played with fire.,The baby played with blocks.
455,The universe is limited like a box.,The universe is endless.
456,He likes to wear blouse,He likes to wear shirt
457,A refrigerator generates electricity,A generator generates electricity
458,The people are quietly shouting,The people are shouting
459,A pillow factory is a great place to find fresh produce.,A farmers market is a good place to find fresh produce.
460,a game is meant simply to be viewed,a movie is meant simply to be viewed
461,He used a handkerchief to cover the bed,He covered the bed with a bedspread
462,Printers print in black paper,Printers print in white paper
463,ships are used to teleportation of materials and peoples,ships are used to transportation of materials and peoples
464,People who catch criminals for living are called fishermen,People who catch fish for living are called fishermen
465,We need to breath Twinkies to live,We need to breath Oxygen to live
466,He pluck the flower from the stone,He pluck the flower from the plant
467,Clothes are no longer worn as much as in previous years,Top hats are no longer worn as much as in previous years
468,He ate a tomato from the dirt,He ate a tomato from the fridge
469,The sun revolves around the Earth,The moon revolves around the Earth
470,A cat was driving the car,A girl was driving the car
471,It was raining and he was holding the mountain,It was raining and he was holding umbrella
472,People built temple to watch movies,People built temple to worship god
473,We always go to hospital and play during school holidays,We always go to park and play during school holidays
474,A car is a musical instrument,A guitar is a musical instrument
475,A caterpillar ate a dog.,A dog ate a caterpillar.
476,Most families have their own train,Most families have their own bed
477,we can eat a football,we can play with a football
478,A mat is made of iron,An anchor is made of iron
479,Silver is for making food,Silver is for making jewelry
480,She made a doll with oil.,She made a doll with cotton.
481,"If a person wants to exercise, they go to a pizza parlor.","If a person wants to exercise, they go to a gym."
482,we can play cricket with the basket ball,we can play cricket with a cricket bat.
483,You would learn a language because i need to travel,I would learn a language because i need to travel
484,She can see a ship in the pond,She can see a ship in the sea
485,He listened to the music on the belt,He listened to the music on mobile phone
486,The pen ran out of mayonnaise,The pen ran out of ink
487,He asked his dog to help in his office work,He asked his wife to help in his office work
488,She took the wardrobe out of the clothes,She took the clothes out of the wardrobe
489,You can improve your wifi signal by removing your teeth between your device and router,You can improve your wifi signal by removing obstructions between your device and router
490,He paid the bill with his nose,He paid the bill with his credit card
491,A barber shop is for dining out.,A barber shop is for getting hair cuts.
492,Lightning is seen after thunder,Thunder is heard after lightning
493,people jump from building to avoid stairs,people use lift  in a building to avoid stairs
494,He was painting the house with spoon,He was painting the house with brush
495,A lion is something you will find at a mall,A lion is something you will find at a forest
496,The chicken laid a dog,The chicken laid an egg
497,A man went to the pool and deposited cash,A man walked into the bank and made a deposit
498,Many Americans can eat at toll booths.,Many Americans can eat at restaurants.
499,My favorite fruit is Meat.,My favorite fruit is apple.
500,The policeman gave him a reward for speeding.,The policeman gave him a ticket for speeding.
501,George went to the basement to get some sun,George went to the beach to get some sun
502,He was so sad that he couldn't stop smiling.,He was so happy that he couldn't stop smiling.
503,He wore cooker to protect his head,He wore helmet to protect his head
504,We can see stars at day,We can see stars at night
505,About fifty people get in to a car,About fifty people get in to a bus
506,The two children threw a knife back and forth.,The two children threw a ball back and forth.
507,staying healthy requires drinking more whiskey,staying healthy requires eating healthy food
508,He wore glasses for finger,He wore glasses for eye
509,He murdered the fridge with rifle,He murdered the shopkeeper with rifle
510,English is a universal bird,English is a universal language
511,Books are suppose to eat,Books are suppose to be read
512,He checked the time in his pen,He checked the time in his watch
513,She went to the bookstore to get ready for her wedding.,She went to the hairdresser to get ready for her wedding.
514,The dog was chasing his wings,The dog was chasing his tail
515,He went outside and put on his shoes,He put on his shoes and went outside
516,The horse barked because he heard people walking down the street.,The dog barked because he heard people walking down the street.
